Generic Enabler,F00[40],F01[30],F02[40],F03[9],F04[10],F05[10],F06[20],rating,label
"POI Data Provider",25,27,40,9,10,4,5,"0,755","A+"
"Business API Ecosystem - Biz Ecosystem RI",25,21,35,9,10,2,12,"0,717","A+"
"Application Mashup - Wirecloud",25,26,35,0,10,2,13,"0,698","A"
"Store - WStore",25,21,40,0,10,2,12,"0,692","A"
"Policy Manager - Bosun",15,27,40,9,10,2,5,"0,679","A"
"Repository - Repository RI",25,29,40,0,10,0,4,"0,679","A"
"IoT Data Edge Consolidation GE - Cepheus",25,25,30,0,10,10,8,"0,679","A"
"3DUI - WebTundra",25,27,40,0,10,2,3,"0,673","A"
"Privacy",24,29,40,0,10,0,3,"0,667","A"
"Data Visualization - SpagoBI",25,30,35,0,10,2,3,"0,66","A"
"Interface Designer",25,19,40,3,10,2,5,"0,654","A"
"Augmented Reality",25,27,30,9,10,0,3,"0,654","A"
"IoT Discovery",25,12,40,3,10,4,9,"0,648","A"
"Authorization PDP - AuthZForce",15,22,40,9,10,2,5,"0,648","A"
"GIS Data Provider - Geoserver/3D",25,15,40,0,10,4,7,"0,635","A"
"Identity Management - KeyRock",25,4,40,9,10,4,9,"0,635","A"
"Data Visualization - Knowage",25,25,35,0,10,2,4,"0,635","A"
"Marketplace - WMarket",25,30,30,0,10,0,4,"0,623","A"
"Synchronization - FiVES",25,28,31,6,0,0,8,"0,616","A"
"Self Service Interfaces - Cloud Portal",25,7,40,9,10,2,5,"0,616","A"
"3D-UI-XML3D",25,29,30,6,0,0,8,"0,616","A"
"SoPeCo",15,27,30,6,10,4,6,"0,616","A"
"IoT Broker",15,28,40,0,10,2,2,"0,61","A"
"Stream-oriented - Kurento",25,11,30,9,10,2,8,"0,598","B"
"FIWARE NGSI10 TestServer",25,30,30,0,0,6,4,"0,598","B"
"PEP Proxy - Wilma",25,6,40,9,10,0,4,"0,591","B"
"Trustworthy Factory",25,27,30,6,0,0,5,"0,585","B"
"FIWARE CKAN Extensions",25,23,30,0,10,2,3,"0,585","B"
"Complex Event Processing (CEP) - Proactive Technology Online",25,28,31,3,0,2,3,"0,579","B"
"Real Virtual Interaction",25,16,30,0,10,0,7,"0,553","B"
"Synchronization",15,29,40,0,0,0,3,"0,547","B"
"Cloud Messaging - AEON",25,17,31,0,10,2,2,"0,547","B"
"Publish/Subscribe Context Broker - Orion Context Broker",15,11,40,0,10,2,9,"0,547","B"
"2D/3D Capture",25,13,30,0,10,0,7,"0,535","B"
"Cyber Security GE - CyberCAPTOR",25,28,31,0,0,0,0,"0,528","B"
"Revenue Settlement and Sharing System - RSS RI",25,29,10,0,10,0,8,"0,516","B"
"Electronic Data Exchange - Domibus",25,28,15,3,0,8,2,"0,509","B"
"2D-UI",25,19,30,0,0,0,5,"0,497","C"
"Virtual Characters",15,29,30,0,0,0,3,"0,484","C"
"Object Storage GE - FIWARE Implementation",25,29,0,3,10,2,4,"0,459","C"
"Trace Analyzer",15,19,30,6,0,0,2,"0,453","C"
"Kiara Advanced Middleware",25,27,0,0,10,0,10,"0,453","C"
"Protocol Adapter - MR CoAP",25,9,30,0,0,2,6,"0,453","C"
"Application Management - Murano",15,20,10,9,10,2,5,"0,447","C"
"Security Monitoring",25,14,20,3,0,0,7,"0,434","C"
"Backend Device Management - IDAS",15,24,1,0,10,10,9,"0,434","C"
"Fast RTPS",25,30,0,0,10,0,3,"0,428","C"
"Software Deployment & Configuration - Sagitta",15,27,0,9,10,2,5,"0,428","C"
"Cygnus",25,9,30,0,0,0,0,"0,403","C"
"Network Information and Control - OFNIC",25,18,0,0,10,0,11,"0,403","C"
"PaaS Manager - Pegasus",15,22,0,9,10,2,5,"0,396","D"
"STH-Comet",25,7,30,0,0,0,0,"0,39","D"
"Monitoring GE - Sextant",15,25,0,3,10,2,5,"0,377","D"
"PROSA",15,30,0,6,0,0,6,"0,358","D"
"Docker",25,21,1,0,0,8,2,"0,358","D"
"IaaS GE - FIWARE Reference Implementation",25,18,0,0,10,2,2,"0,358","D"
"FIA Project Management Plugin",25,27,0,0,0,0,3,"0,346","D"
"BigData Analysis - Cosmos",15,21,0,0,0,10,7,"0,333","D"
"Cloud Rendering",25,19,0,0,0,0,5,"0,308","D"
"3D-UI-WebTundra with Synchronization server",22,0,0,0,0,0,3,"0,157","D"
"3D-UI-XML3D Geo Visualization",22,0,0,0,0,0,0,"0,138","D"
"Business Framework Consumption",22,0,0,0,0,0,0,"0,138","D"
"Data Context Streams",22,0,0,0,0,0,0,"0,138","D"
